id,priority,status,role,title,deps,inputs,output,project_id,phase,workstream,exclusive_keys,size_class,quality_tier,risk_tier,wave_id,batch_hint,acceptance,compliance_profile,notes,min_capability_tier,context_class,tool_requirements,context_refs
TASK_TRAVEL_COST_MODEL_01,2,BLOCKED,ANALYST,Build two-person one-day budget model,TASK_TRAVEL_GEO_TRANSIT_01;TASK_TRAVEL_FOOD_01,projects/TRAVEL_GUIDE/research/GEO_TRANSIT.md;projects/TRAVEL_GUIDE/research/FOOD.md,projects/TRAVEL_GUIDE/research/BUDGET_MODEL.md,TRAVEL_GUIDE,RESEARCH,budget,PROJECT:TRAVEL_BUDGET,M,STANDARD,LOW,TG_W3,,Build low/base/high cost model for transport admission food drinks small gift and contingency while respecting encrypted budget cap,TRAVEL_RESEARCH_V1,Identify fixed vs optional costs and preserve contingency,3,M,web;python,projects/TRAVEL_GUIDE/PRIVATE_CONTEXT.enc.json
TASK_TRAVEL_INTERACTION_DESIGN_01,2,BLOCKED,PLANNER,Design low-pressure conversation pacing and topic bank,TASK_TRAVEL_PRIVACY_AUDIT_01;TASK_TRAVEL_HISTORY_CULTURE_01;TASK_TRAVEL_ROUTE_PATTERNS_01,projects/TRAVEL_GUIDE/PRIVATE_CONTEXT.enc.json;projects/TRAVEL_GUIDE/research/HISTORY_CULTURE.md;projects/TRAVEL_GUIDE/research/ROUTE_PATTERNS.md,projects/TRAVEL_GUIDE/private/INTERACTION_DESIGN.md.enc,TRAVEL_GUIDE,PRIVATE_PLAN,interaction,PROJECT:TRAVEL_INTERACTION,M,REVIEW,HIGH,TG_W3,,Design natural topic progression for transit arrival walking meals rest photo moments and return; give concrete questions; listening cues; boundaries; slow-down signals; no manipulation; encrypted storage only,TRAVEL_PRIVATE_V1,Decrypted preview may appear in chat only,4,L,web;python,projects/TRAVEL_GUIDE/PRIVATE_CONTEXT.enc.json
TASK_TRAVEL_GIFT_DESIGN_01,2,BLOCKED,PLANNER,Design gift options and low-pressure gifting moments,TASK_TRAVEL_PRIVACY_AUDIT_01;TASK_TRAVEL_FOOD_01;TASK_TRAVEL_HISTORY_CULTURE_01,projects/TRAVEL_GUIDE/PRIVATE_CONTEXT.enc.json;projects/TRAVEL_GUIDE/research/FOOD.md;projects/TRAVEL_GUIDE/research/HISTORY_CULTURE.md,projects/TRAVEL_GUIDE/private/GIFT_DESIGN.md.enc,TRAVEL_GUIDE,PRIVATE_PLAN,gift,PROJECT:TRAVEL_GIFT,S,REVIEW,HIGH,TG_W3,,Propose modest gifts; when/where/how to give; sample wording; avoid obligation; what not to give; fallback if moment feels wrong; encrypted storage only,TRAVEL_PRIVATE_V1,Thoughtful inexpensive portable and easy to decline,4,M,web;python,projects/TRAVEL_GUIDE/PRIVATE_CONTEXT.enc.json
TASK_TRAVEL_FIVE_SCHEMES_01,3,BLOCKED,ARCHITECT,Design five distinct one-day itinerary concepts,TASK_TRAVEL_GEO_TRANSIT_01;TASK_TRAVEL_HISTORY_CULTURE_01;TASK_TRAVEL_REVIEWS_01;TASK_TRAVEL_FOOD_01;TASK_TRAVEL_ROUTE_PATTERNS_01;TASK_TRAVEL_NEWS_01;TASK_TRAVEL_VISITOR_PROFILE_01;TASK_TRAVEL_SEASONAL_FLOW_01;TASK_TRAVEL_COST_MODEL_01,projects/TRAVEL_GUIDE/research/,projects/TRAVEL_GUIDE/SCHEME_ARCHITECTURE.md,TRAVEL_GUIDE,SYNTHESIS,schemes,PROJECT:TRAVEL_SCHEMES,L,REVIEW,MEDIUM,TG_W4,,Create five genuinely different plans: balanced classic; culture depth; food+old-city; relaxed conversation-first; weather/crowd resilient; define route time walking spend highlights tradeoffs,TRAVEL_PLANNING_V1,Keep relationship-specific scripts out of plaintext,4,XL,web,projects/TRAVEL_GUIDE/research/
TASK_TRAVEL_MAPS_01,4,BLOCKED,DESIGNER,Create five route maps with previews,TASK_TRAVEL_FIVE_SCHEMES_01,projects/TRAVEL_GUIDE/SCHEME_ARCHITECTURE.md;projects/TRAVEL_GUIDE/research/GEO_TRANSIT.md,projects/TRAVEL_GUIDE/maps/SCHEME_A.svg;projects/TRAVEL_GUIDE/maps/SCHEME_A.png;projects/TRAVEL_GUIDE/maps/SCHEME_B.svg;projects/TRAVEL_GUIDE/maps/SCHEME_B.png;projects/TRAVEL_GUIDE/maps/SCHEME_C.svg;projects/TRAVEL_GUIDE/maps/SCHEME_C.png;projects/TRAVEL_GUIDE/maps/SCHEME_D.svg;projects/TRAVEL_GUIDE/maps/SCHEME_D.png;projects/TRAVEL_GUIDE/maps/SCHEME_E.svg;projects/TRAVEL_GUIDE/maps/SCHEME_E.png,TRAVEL_GUIDE,BUILD,maps,PROJECT:TRAVEL_MAPS,L,REVIEW,LOW,TG_W5,,One readable phone-friendly map per scheme showing sequence stops transfer/walk segments approximate durations rest/meal nodes; SVG and PNG paired; no exact private home-origin,TRAVEL_VISUAL_V1,Maps also need to print cleanly inside PDF,3,L,python,projects/TRAVEL_GUIDE/SCHEME_ARCHITECTURE.md
TASK_TRAVEL_SCHEME_A_01,5,BLOCKED,WRITER,Produce encrypted full guide PDF Scheme A,TASK_TRAVEL_FIVE_SCHEMES_01;TASK_TRAVEL_MAPS_01;TASK_TRAVEL_INTERACTION_DESIGN_01;TASK_TRAVEL_GIFT_DESIGN_01,projects/TRAVEL_GUIDE/SCHEME_ARCHITECTURE.md;projects/TRAVEL_GUIDE/maps/SCHEME_A.png;projects/TRAVEL_GUIDE/private/INTERACTION_DESIGN.md.enc;projects/TRAVEL_GUIDE/private/GIFT_DESIGN.md.enc;projects/TRAVEL_GUIDE/PRIVATE_CONTEXT.enc.json,projects/TRAVEL_GUIDE/private/SCHEME_A_FULL_GUIDE.pdf.enc,TRAVEL_GUIDE,DELIVER,scheme_a,PROJECT:TRAVEL_A,L,REVIEW,HIGH,TG_W6,,Phone-friendly exact private itinerary; hourly location-specific topics; meals; rest; gift moment; budget checkpoints; fallbacks; return plan; encrypted canonical storage; decrypted chat preview only,TRAVEL_PRIVATE_V1,Balanced classic scheme,4,XL,web;python,projects/TRAVEL_GUIDE/PRIVATE_CONTEXT.enc.json
TASK_TRAVEL_SCHEME_B_01,5,BLOCKED,WRITER,Produce encrypted full guide PDF Scheme B,TASK_TRAVEL_FIVE_SCHEMES_01;TASK_TRAVEL_MAPS_01;TASK_TRAVEL_INTERACTION_DESIGN_01;TASK_TRAVEL_GIFT_DESIGN_01,projects/TRAVEL_GUIDE/SCHEME_ARCHITECTURE.md;projects/TRAVEL_GUIDE/maps/SCHEME_B.png;projects/TRAVEL_GUIDE/private/INTERACTION_DESIGN.md.enc;projects/TRAVEL_GUIDE/private/GIFT_DESIGN.md.enc;projects/TRAVEL_GUIDE/PRIVATE_CONTEXT.enc.json,projects/TRAVEL_GUIDE/private/SCHEME_B_FULL_GUIDE.pdf.enc,TRAVEL_GUIDE,DELIVER,scheme_b,PROJECT:TRAVEL_B,L,REVIEW,HIGH,TG_W6,,Same full-guide standard for culture-depth scheme including private conversation/gift staging; encrypted canonical storage only,TRAVEL_PRIVATE_V1,Culture-depth scheme,4,XL,web;python,projects/TRAVEL_GUIDE/PRIVATE_CONTEXT.enc.json
TASK_TRAVEL_SCHEME_C_01,5,BLOCKED,WRITER,Produce encrypted full guide PDF Scheme C,TASK_TRAVEL_FIVE_SCHEMES_01;TASK_TRAVEL_MAPS_01;TASK_TRAVEL_INTERACTION_DESIGN_01;TASK_TRAVEL_GIFT_DESIGN_01,projects/TRAVEL_GUIDE/SCHEME_ARCHITECTURE.md;projects/TRAVEL_GUIDE/maps/SCHEME_C.png;projects/TRAVEL_GUIDE/private/INTERACTION_DESIGN.md.enc;projects/TRAVEL_GUIDE/private/GIFT_DESIGN.md.enc;projects/TRAVEL_GUIDE/PRIVATE_CONTEXT.enc.json,projects/TRAVEL_GUIDE/private/SCHEME_C_FULL_GUIDE.pdf.enc,TRAVEL_GUIDE,DELIVER,scheme_c,PROJECT:TRAVEL_C,L,REVIEW,HIGH,TG_W6,,Same full-guide standard for food-and-old-city scheme including private conversation/gift staging; encrypted canonical storage only,TRAVEL_PRIVATE_V1,Food and old-city scheme,4,XL,web;python,projects/TRAVEL_GUIDE/PRIVATE_CONTEXT.enc.json
TASK_TRAVEL_SCHEME_D_01,5,BLOCKED,WRITER,Produce encrypted full guide PDF Scheme D,TASK_TRAVEL_FIVE_SCHEMES_01;TASK_TRAVEL_MAPS_01;TASK_TRAVEL_INTERACTION_DESIGN_01;TASK_TRAVEL_GIFT_DESIGN_01,projects/TRAVEL_GUIDE/SCHEME_ARCHITECTURE.md;projects/TRAVEL_GUIDE/maps/SCHEME_D.png;projects/TRAVEL_GUIDE/private/INTERACTION_DESIGN.md.enc;projects/TRAVEL_GUIDE/private/GIFT_DESIGN.md.enc;projects/TRAVEL_GUIDE/PRIVATE_CONTEXT.enc.json,projects/TRAVEL_GUIDE/private/SCHEME_D_FULL_GUIDE.pdf.enc,TRAVEL_GUIDE,DELIVER,scheme_d,PROJECT:TRAVEL_D,L,REVIEW,HIGH,TG_W6,,Same full-guide standard for relaxed-conversation-first scheme including private conversation/gift staging; encrypted canonical storage only,TRAVEL_PRIVATE_V1,Relaxed conversation-first scheme,4,XL,web;python,projects/TRAVEL_GUIDE/PRIVATE_CONTEXT.enc.json
TASK_TRAVEL_SCHEME_E_01,5,BLOCKED,WRITER,Produce encrypted full guide PDF Scheme E,TASK_TRAVEL_FIVE_SCHEMES_01;TASK_TRAVEL_MAPS_01;TASK_TRAVEL_INTERACTION_DESIGN_01;TASK_TRAVEL_GIFT_DESIGN_01,projects/TRAVEL_GUIDE/SCHEME_ARCHITECTURE.md;projects/TRAVEL_GUIDE/maps/SCHEME_E.png;projects/TRAVEL_GUIDE/private/INTERACTION_DESIGN.md.enc;projects/TRAVEL_GUIDE/private/GIFT_DESIGN.md.enc;projects/TRAVEL_GUIDE/PRIVATE_CONTEXT.enc.json,projects/TRAVEL_GUIDE/private/SCHEME_E_FULL_GUIDE.pdf.enc,TRAVEL_GUIDE,DELIVER,scheme_e,PROJECT:TRAVEL_E,L,REVIEW,HIGH,TG_W6,,Same full-guide standard for weather/crowd-resilient scheme including private conversation/gift staging; encrypted canonical storage only,TRAVEL_PRIVATE_V1,Resilience fallback scheme,4,XL,web;python,projects/TRAVEL_GUIDE/PRIVATE_CONTEXT.enc.json
TASK_TRAVEL_RESEARCH_DIGEST_01,5,BLOCKED,WRITER,Produce research findings digest PDF,TASK_TRAVEL_HISTORY_CULTURE_01;TASK_TRAVEL_REVIEWS_01;TASK_TRAVEL_FOOD_01;TASK_TRAVEL_NEWS_01;TASK_TRAVEL_VISITOR_PROFILE_01;TASK_TRAVEL_SEASONAL_FLOW_01;TASK_TRAVEL_GEO_TRANSIT_01;TASK_TRAVEL_COST_MODEL_01,projects/TRAVEL_GUIDE/research/,projects/TRAVEL_GUIDE/RESEARCH_DIGEST.pdf;projects/TRAVEL_GUIDE/RESEARCH_DIGEST.preview.png,TRAVEL_GUIDE,DELIVER,research_digest,PROJECT:TRAVEL_DIGEST,L,REVIEW,LOW,TG_W6,,Create evidence-rich PDF covering geography history culture reviews food routes news profile purpose seasonality transport and budget; label data gaps and proxies; no private relationship/exact-origin content,TRAVEL_REPORT_V1,PDF plus preview PNG required,4,XL,web;python,projects/TRAVEL_GUIDE/research/
TASK_TRAVEL_PRETRIP_CHAT_01,5,BLOCKED,WRITER,Produce encrypted pre-trip communication guide,TASK_TRAVEL_INTERACTION_DESIGN_01;TASK_TRAVEL_GIFT_DESIGN_01,projects/TRAVEL_GUIDE/private/INTERACTION_DESIGN.md.enc;projects/TRAVEL_GUIDE/private/GIFT_DESIGN.md.enc;projects/TRAVEL_GUIDE/PRIVATE_CONTEXT.enc.json,projects/TRAVEL_GUIDE/private/PRETRIP_CHAT_GUIDE.pdf.enc,TRAVEL_GUIDE,DELIVER,pretrip_chat,PROJECT:TRAVEL_PRECHAT,M,REVIEW,HIGH,TG_W6,,Create pre-trip messages; confirmation timing; weather/packing reminder; avoid over-texting; save topics for in-person; tone examples; boundaries; gift-introduction wording; encrypted storage only,TRAVEL_PRIVATE_V1,Respectful communication mutual comfort authenticity,4,L,python,projects/TRAVEL_GUIDE/PRIVATE_CONTEXT.enc.json
TASK_TRAVEL_T_MINUS_1_CHECK_01,6,BLOCKED,RESEARCHER,Refresh last-minute transport weather opening and crowd risks,TASK_TRAVEL_FIVE_SCHEMES_01,projects/TRAVEL_GUIDE/PRIVATE_CONTEXT.enc.json;projects/TRAVEL_GUIDE/SCHEME_ARCHITECTURE.md,projects/TRAVEL_GUIDE/private/LAST_MINUTE_CHECK.md.enc,TRAVEL_GUIDE,VERIFY,dynamic_check,PROJECT:TRAVEL_LASTCHECK,M,REVIEW,MEDIUM,TG_W7,,Near departure re-check exact-date trains/availability; weather; opening notices; closures/events; crowd risks; recommend scheme and timing adjustments; store encrypted due exact private date/origin,TRAVEL_DYNAMIC_V1,Freshness over completeness; cite current sources,4,M,web;python,projects/TRAVEL_GUIDE/PRIVATE_CONTEXT.enc.json
TASK_TRAVEL_FINAL_AUDIT_01,7,BLOCKED,REVIEWER,Final factual budget privacy and usability audit,TASK_TRAVEL_SCHEME_A_01;TASK_TRAVEL_SCHEME_B_01;TASK_TRAVEL_SCHEME_C_01;TASK_TRAVEL_SCHEME_D_01;TASK_TRAVEL_SCHEME_E_01;TASK_TRAVEL_RESEARCH_DIGEST_01;TASK_TRAVEL_PRETRIP_CHAT_01;TASK_TRAVEL_T_MINUS_1_CHECK_01,projects/TRAVEL_GUIDE/,projects/TRAVEL_GUIDE/FINAL_REVIEW.md,TRAVEL_GUIDE,ACCEPTANCE,final_review,PROJECT:TRAVEL_FINAL,M,REVIEW,HIGH,TG_W8,,Verify five schemes; five map pairs; research digest; pre-trip guide; dynamic check; budget feasibility; no unsupported statistics; all private artifacts encrypted; no repo key/plaintext leakage; recommend final scheme,TRAVEL_REVIEW_V1,Project cannot close with privacy leakage or fabricated statistics,5,XL,web;python;git,projects/TRAVEL_GUIDE/PRIVACY_POLICY.md
