id,priority,status,role,title,deps,inputs,output,project_id,phase,workstream,exclusive_keys,size_class,quality_tier,risk_tier,wave_id,batch_hint,acceptance,compliance_profile,notes,min_capability_tier,context_class,tool_requirements,context_refs
TASK_TRAVEL_SPOT_NANQIAO_01,2,READY,RESEARCHER,Deep dossier for Nanqiao,,projects/TRAVEL_GUIDE/REQUIREMENTS_PUBLIC.md;projects/TRAVEL_GUIDE/research/RECENT_REVIEWS.md,projects/TRAVEL_GUIDE/research/book/spots/NANQIAO.md,TRAVEL_GUIDE_DEPTH,RESEARCH,spot_nanqiao,PROJECT:TRAVEL_DEPTH_NANQIAO,M,STANDARD,LOW,TGD_W1,,Cover bridge and riverfront role; daylight versus night tradeoff; dwell; station connection; recent review themes; no guaranteed light colour claims; dated sources,TRAVEL_RESEARCH_V2,Free public space and paid night products must be separated,3,M,web,projects/TRAVEL_GUIDE/research/RECENT_REVIEWS.md
TASK_TRAVEL_SPOT_LIDUI_STATION_01,2,READY,RESEARCHER,Deep dossier for Lidui Park Station,,projects/TRAVEL_GUIDE/research/GEO_TRANSIT.md;projects/TRAVEL_GUIDE/REQUIREMENTS_PUBLIC.md,projects/TRAVEL_GUIDE/research/book/spots/LIDUI_PARK_STATION.md,TRAVEL_GUIDE_DEPTH,RESEARCH,spot_lidui_station,PROJECT:TRAVEL_DEPTH_LIDUI,M,STANDARD,LOW,TGD_W1,,Verify station naming and AMap link; Nanqiao connection; realistic station arrival buffer; return contingencies; dated sources,TRAVEL_RESEARCH_V2,Do not confuse with Dujiangyan Station,3,M,web,projects/TRAVEL_GUIDE/research/GEO_TRANSIT.md
TASK_TRAVEL_FOOD_XIAOZHUO_01,2,READY,RESEARCHER,Deep meal dossier for Courtyard Xiaozhuo,,projects/TRAVEL_GUIDE/research/FOOD.md;projects/TRAVEL_GUIDE/REQUIREMENTS_PUBLIC.md,projects/TRAVEL_GUIDE/research/book/food/COURTYARD_MEAL.md,TRAVEL_GUIDE_DEPTH,RESEARCH,food_courtyard,PROJECT:TRAVEL_DEPTH_FOOD1,M,STANDARD,LOW,TGD_W1,,Verify current business identity; hours; price signal; two-person ordering strategy; queue risk; AMap link; recent review themes; dated sources,TRAVEL_RESEARCH_V2,Merchant data is dynamic and must include refresh date,3,M,web,projects/TRAVEL_GUIDE/research/FOOD.md
TASK_TRAVEL_FOOD_XIJIE_01,2,READY,RESEARCHER,Deep meal dossier for quiet old-city option,,projects/TRAVEL_GUIDE/research/FOOD.md;projects/TRAVEL_GUIDE/REQUIREMENTS_PUBLIC.md,projects/TRAVEL_GUIDE/research/book/food/QUIET_OLD_CITY_MEAL.md,TRAVEL_GUIDE_DEPTH,RESEARCH,food_quiet,PROJECT:TRAVEL_DEPTH_FOOD2,M,STANDARD,LOW,TGD_W1,,Verify current restaurant identity; environment and seat suitability; hours and price signal; ordering rules; review conflicts; dated sources,TRAVEL_RESEARCH_V2,Small review samples must be labelled,3,M,web,projects/TRAVEL_GUIDE/research/FOOD.md
TASK_TRAVEL_FOOD_ZHAOMAI_01,2,READY,RESEARCHER,Deep snack dossier for Zhao Maimian,,projects/TRAVEL_GUIDE/research/FOOD.md;projects/TRAVEL_GUIDE/REQUIREMENTS_PUBLIC.md,projects/TRAVEL_GUIDE/research/book/food/REPRESENTATIVE_SNACK.md,TRAVEL_GUIDE_DEPTH,RESEARCH,food_snack,PROJECT:TRAVEL_DEPTH_FOOD3,M,STANDARD,LOW,TGD_W1,,Verify current location and hours; representative dishes; portion and timing role; price signal; AMap link; recent review themes; dated sources,TRAVEL_RESEARCH_V2,Do not force a detour solely for fame,3,M,web,projects/TRAVEL_GUIDE/research/FOOD.md
TASK_TRAVEL_FIELD_FACILITIES_01,2,READY,RESEARCHER,Audit field facilities and rest services,,projects/TRAVEL_GUIDE/REQUIREMENTS_PUBLIC.md;projects/TRAVEL_GUIDE/research/MAP_BASE_FACTS.md,projects/TRAVEL_GUIDE/research/book/field/FACILITIES.md,TRAVEL_GUIDE_DEPTH,RESEARCH,field_facilities,PROJECT:TRAVEL_DEPTH_FIELD1,M,REVIEW,MEDIUM,TGD_W1,,Research toilets; visitor centres; seats; rest points; convenience retail; sightseeing shuttle; luggage evidence boundary; current service phones; dated sources,TRAVEL_RESEARCH_V2,Planning documents are not guarantees of each facility being open today,4,L,web,projects/TRAVEL_GUIDE/REQUIREMENTS_PUBLIC.md
TASK_TRAVEL_FIELD_AMAP_MATRIX_01,2,READY,ANALYST,Build AMap travel-time decision matrix,,projects/TRAVEL_GUIDE/research/GEO_TRANSIT.md;projects/TRAVEL_GUIDE/MAP_VALIDATION_POLICY.md,projects/TRAVEL_GUIDE/research/book/field/AMAP_TIME_MATRIX.md,TRAVEL_GUIDE_DEPTH,RESEARCH,field_amap,PROJECT:TRAVEL_DEPTH_FIELD2,L,REVIEW,MEDIUM,TGD_W1,,Build node-to-node planning ranges and direct AMap links; distinguish realtime values from static ranges; include station-to-gate and Nanqiao-to-Lidui; dated snapshot,TRAVEL_RESEARCH_V2,Never present generated schematic geometry as routing truth,4,L,web;python,projects/TRAVEL_GUIDE/MAP_VALIDATION_POLICY.md
TASK_TRAVEL_FIELD_RETURN_RAIL_01,2,READY,RESEARCHER,Build return rail candidate matrix,,projects/TRAVEL_GUIDE/research/GEO_TRANSIT.md;projects/TRAVEL_GUIDE/REQUIREMENTS_PUBLIC.md,projects/TRAVEL_GUIDE/research/book/field/RETURN_RAIL_MATRIX.md,TRAVEL_GUIDE_DEPTH,RESEARCH,field_return_rail,PROJECT:TRAVEL_DEPTH_FIELD3,M,REVIEW,MEDIUM,TGD_W1,,Collect current evening Lidui Park and Dujiangyan Station return candidates; station buffers; fallback logic; source timestamps; final-execution caveat,TRAVEL_RESEARCH_V2,Public timetable is not a ticket guarantee,4,L,web,projects/TRAVEL_GUIDE/research/GEO_TRANSIT.md
TASK_TRAVEL_FIELD_RAIN_CROWD_01,2,READY,PLANNER,Build rain and crowd fallback decision tree,,projects/TRAVEL_GUIDE/research/RECENT_REVIEWS.md;projects/TRAVEL_GUIDE/research/ROUTE_PATTERNS.md,projects/TRAVEL_GUIDE/research/book/field/RAIN_CROWD_DECISION_TREE.md,TRAVEL_GUIDE_DEPTH,RESEARCH,field_fallback,PROJECT:TRAVEL_DEPTH_FIELD4,M,STANDARD,LOW,TGD_W1,,Create actionable if-then rules for rain; bridge queues; fatigue; late arrival; meal delay; return protection; preserve core hydraulic nodes,TRAVEL_RESEARCH_V2,No unsafe weather encouragement,3,M,web,projects/TRAVEL_GUIDE/research/ROUTE_PATTERNS.md
TASK_TRAVEL_REVIEWS_2026_DEEP_01,2,READY,RESEARCHER,Deep audit of 2024-2026 visitor reviews,,projects/TRAVEL_GUIDE/research/RECENT_REVIEWS.md;projects/TRAVEL_GUIDE/REQUIREMENTS_PUBLIC.md,projects/TRAVEL_GUIDE/research/book/evidence/REVIEWS_2026.md,TRAVEL_GUIDE_DEPTH,RESEARCH,evidence_reviews,PROJECT:TRAVEL_DEPTH_EVID1,L,REVIEW,MEDIUM,TGD_W1,,Expand recurring praise and complaints; queues; fatigue; interpretation quality; commercialisation; night atmosphere; platform bias; no invented percentages; dated sources,TRAVEL_RESEARCH_V2,Anecdotes must not be converted to population statistics,4,L,web,projects/TRAVEL_GUIDE/research/RECENT_REVIEWS.md
TASK_TRAVEL_PROFILE_EVIDENCE_AUDIT_01,2,READY,REVIEWER,Audit visitor profile evidence,,projects/TRAVEL_GUIDE/research/VISITOR_PROFILE.md;projects/TRAVEL_GUIDE/REQUIREMENTS_PUBLIC.md,projects/TRAVEL_GUIDE/research/book/evidence/VISITOR_PROFILE_AUDIT.md,TRAVEL_GUIDE_DEPTH,RESEARCH,evidence_profile,PROJECT:TRAVEL_DEPTH_EVID2,L,REVIEW,MEDIUM,TGD_W1,,Trace every age and trip-purpose statement; label year and denominator; separate Dujiangyan from combined scenic-area data; document unavailable 2026 percentages,TRAVEL_RESEARCH_V2,Every percentage must be traceable or removed,4,L,web,projects/TRAVEL_GUIDE/research/VISITOR_PROFILE.md
TASK_TRAVEL_SEASON_EVIDENCE_AUDIT_01,2,READY,REVIEWER,Audit seasonality and visitor-flow evidence,,projects/TRAVEL_GUIDE/research/SEASONAL_FLOW.md;projects/TRAVEL_GUIDE/REQUIREMENTS_PUBLIC.md,projects/TRAVEL_GUIDE/research/book/evidence/SEASONALITY_AUDIT.md,TRAVEL_GUIDE_DEPTH,RESEARCH,evidence_season,PROJECT:TRAVEL_DEPTH_EVID3,L,REVIEW,MEDIUM,TGD_W1,,Trace holiday counts and seasonal claims; distinguish city and scenic-area denominators; document September inference limits; remove invented monthly shares,TRAVEL_RESEARCH_V2,Sparse holiday counts cannot become unsupported monthly percentages,4,L,web,projects/TRAVEL_GUIDE/research/SEASONAL_FLOW.md
TASK_TRAVEL_POI_SOURCE_AUDIT_01,2,READY,REVIEWER,Audit POI names access and map sources,,projects/TRAVEL_GUIDE/MAP_VALIDATION_POLICY.md;projects/TRAVEL_GUIDE/research/MAP_BASE_FACTS.md,projects/TRAVEL_GUIDE/research/book/evidence/POI_SOURCE_AUDIT.md,TRAVEL_GUIDE_DEPTH,RESEARCH,evidence_poi,PROJECT:TRAVEL_DEPTH_EVID4,L,REVIEW,MEDIUM,TGD_W1,,Audit canonical names; AMap links; gates; station distinction; current access evidence; route node order; flag stale or unsupported POIs,TRAVEL_RESEARCH_V2,Operational map facts require current evidence,4,L,web,projects/TRAVEL_GUIDE/MAP_VALIDATION_POLICY.md
TASK_TRAVEL_BOOK_SEARCH_INDEX_01,5,BLOCKED,ANALYST,Build searchable book index,TASK_TRAVEL_SPOT_DUJIANGYAN_STATION_01;TASK_TRAVEL_SPOT_GATE1_01;TASK_TRAVEL_SPOT_FULONG_01;TASK_TRAVEL_SPOT_BAOPINGKOU_01;TASK_TRAVEL_SPOT_FEISHAYAN_01;TASK_TRAVEL_SPOT_YUZUI_01;TASK_TRAVEL_SPOT_ANLAN_01;TASK_TRAVEL_SPOT_ERWANG_01;TASK_TRAVEL_SPOT_QINYAN_01;TASK_TRAVEL_SPOT_OLDCITY_01;TASK_TRAVEL_SPOT_NANQIAO_01;TASK_TRAVEL_SPOT_LIDUI_STATION_01;TASK_TRAVEL_FOOD_XIAOZHUO_01;TASK_TRAVEL_FOOD_XIJIE_01;TASK_TRAVEL_FOOD_ZHAOMAI_01;TASK_TRAVEL_FIELD_FACILITIES_01;TASK_TRAVEL_FIELD_AMAP_MATRIX_01;TASK_TRAVEL_FIELD_RETURN_RAIL_01;TASK_TRAVEL_FIELD_RAIN_CROWD_01;TASK_TRAVEL_REVIEWS_2026_DEEP_01;TASK_TRAVEL_PROFILE_EVIDENCE_AUDIT_01;TASK_TRAVEL_SEASON_EVIDENCE_AUDIT_01;TASK_TRAVEL_POI_SOURCE_AUDIT_01,projects/TRAVEL_GUIDE/research/book/,projects/TRAVEL_GUIDE/web/BOOK_SEARCH_INDEX.json,TRAVEL_GUIDE_DEPTH,SYNTHESIS,book_search,PROJECT:TRAVEL_DEPTH_SEARCH,M,STANDARD,LOW,TGD_W2,,Index all depth dossiers by title; aliases; tags; category; summary; AMap capability; source freshness; deterministic JSON schema,TRAVEL_REPORT_V2,No private context in public search index,3,L,python,projects/TRAVEL_GUIDE/research/book/
TASK_TRAVEL_BOOK_EDITOR_V6_01,6,BLOCKED,WRITER,Integrate book-depth research into V6,TASK_TRAVEL_BOOK_SEARCH_INDEX_01,projects/TRAVEL_GUIDE/research/book/;projects/TRAVEL_GUIDE/web/BOOK_SEARCH_INDEX.json;projects/TRAVEL_GUIDE/RESEARCH_DIGEST.pdf,projects/TRAVEL_GUIDE/book/BOOK_V6_MASTER.md;projects/TRAVEL_GUIDE/web/BOOK_V6_DATA.json,TRAVEL_GUIDE_DEPTH,SYNTHESIS,book_editor,PROJECT:TRAVEL_DEPTH_EDITOR,XL,REVIEW,MEDIUM,TGD_W3,,Integrate 50-task family research into coherent chapter structure; preserve evidence boundaries; update spot cards and dynamic caveats; avoid duplication; produce mobile-web data,TRAVEL_REPORT_V2,Public editor must not copy encrypted private context,4,XL,web;python,projects/TRAVEL_GUIDE/research/book/
TASK_TRAVEL_BOOK_FINAL_SOURCE_QA_01,7,BLOCKED,REVIEWER,Final source and mobile-content QA,TASK_TRAVEL_BOOK_EDITOR_V6_01;TASK_TRAVEL_BOOK_SEARCH_INDEX_01,projects/TRAVEL_GUIDE/book/BOOK_V6_MASTER.md;projects/TRAVEL_GUIDE/web/BOOK_V6_DATA.json;projects/TRAVEL_GUIDE/research/book/,projects/TRAVEL_GUIDE/book/BOOK_V6_SOURCE_QA.md,TRAVEL_GUIDE_DEPTH,ACCEPTANCE,book_qa,PROJECT:TRAVEL_DEPTH_QA,L,REVIEW,MEDIUM,TGD_W4,,Check source traceability; duplicate claims; stale POIs; AMap links; time-range labels; mobile-search completeness; unresolved gaps; issue pass or correction list,TRAVEL_REVIEW_V2,Independent review preferred,4,XL,web;python,projects/TRAVEL_GUIDE/book/BOOK_V6_MASTER.md
