id,project_id,priority,role,title,effective_status,deps,output
TASK_TRAVEL_SEASONAL_FLOW_01,TRAVEL_GUIDE,2,RESEARCHER,Research seasonal visitor volume weather and crowd patterns,BLOCKED,TASK_TRAVEL_GUIDE_INTAKE_01,projects/TRAVEL_GUIDE/research/SEASONAL_FLOW.md
TASK_TRAVEL_VISITOR_PROFILE_01,TRAVEL_GUIDE,2,RESEARCHER,Research visitor age structure and trip-purpose mix,BLOCKED,TASK_TRAVEL_GUIDE_INTAKE_01,projects/TRAVEL_GUIDE/research/VISITOR_PROFILE.md
TASK_TRAVEL_FIVE_SCHEMES_01,TRAVEL_GUIDE,3,ARCHITECT,Design five distinct one-day itinerary concepts,BLOCKED,TASK_TRAVEL_GEO_TRANSIT_01;TASK_TRAVEL_HISTORY_CULTURE_01;TASK_TRAVEL_REVIEWS_01;TASK_TRAVEL_FOOD_01;TASK_TRAVEL_ROUTE_PATTERNS_01;TASK_TRAVEL_NEWS_01;TASK_TRAVEL_VISITOR_PROFILE_01;TASK_TRAVEL_SEASONAL_FLOW_01;TASK_TRAVEL_COST_MODEL_01,projects/TRAVEL_GUIDE/SCHEME_ARCHITECTURE.md
TASK_TRAVEL_MAPS_01,TRAVEL_GUIDE,4,DESIGNER,Generate and verify five route maps with AI prompt-image-receipt loop,BLOCKED,TASK_TRAVEL_FIVE_SCHEMES_01,projects/TRAVEL_GUIDE/maps/SCHEME_A_MAP_PROMPT.md;projects/TRAVEL_GUIDE/maps/SCHEME_A_MAP.png;projects/TRAVEL_GUIDE/maps/SCHEME_A_MAP_RECEIPT.md;projects/TRAVEL_GUIDE/maps/SCHEME_B_MAP_PROMPT.md;projects/TRAVEL_GUIDE/maps/SCHEME_B_MAP.png;projects/TRAVEL_GUIDE/maps/SCHEME_B_MAP_RECEIPT.md;projects/TRAVEL_GUIDE/maps/SCHEME_C_MAP_PROMPT.md;projects/TRAVEL_GUIDE/maps/SCHEME_C_MAP.png;projects/TRAVEL_GUIDE/maps/SCHEME_C_MAP_RECEIPT.md;projects/TRAVEL_GUIDE/maps/SCHEME_D_MAP_PROMPT.md;projects/TRAVEL_GUIDE/maps/SCHEME_D_MAP.png;projects/TRAVEL_GUIDE/maps/SCHEME_D_MAP_RECEIPT.md;projects/TRAVEL_GUIDE/maps/SCHEME_E_MAP_PROMPT.md;projects/TRAVEL_GUIDE/maps/SCHEME_E_MAP.png;projects/TRAVEL_GUIDE/maps/SCHEME_E_MAP_RECEIPT.md
TASK_TRAVEL_PRETRIP_CHAT_01,TRAVEL_GUIDE,5,WRITER,Produce encrypted pre-trip communication guide,BLOCKED,TASK_TRAVEL_INTERACTION_DESIGN_01;TASK_TRAVEL_GIFT_DESIGN_01,projects/TRAVEL_GUIDE/private/PRETRIP_CHAT_GUIDE.pdf.enc
TASK_TRAVEL_RESEARCH_DIGEST_01,TRAVEL_GUIDE,5,WRITER,Produce research findings digest PDF,BLOCKED,TASK_TRAVEL_HISTORY_CULTURE_01;TASK_TRAVEL_REVIEWS_01;TASK_TRAVEL_FOOD_01;TASK_TRAVEL_NEWS_01;TASK_TRAVEL_VISITOR_PROFILE_01;TASK_TRAVEL_SEASONAL_FLOW_01;TASK_TRAVEL_GEO_TRANSIT_01;TASK_TRAVEL_COST_MODEL_01,projects/TRAVEL_GUIDE/RESEARCH_DIGEST.pdf;projects/TRAVEL_GUIDE/RESEARCH_DIGEST.preview.png
TASK_TRAVEL_SCHEME_A_01,TRAVEL_GUIDE,5,WRITER,Produce encrypted full guide PDF Scheme A,BLOCKED,TASK_TRAVEL_FIVE_SCHEMES_01;TASK_TRAVEL_MAPS_01;TASK_TRAVEL_INTERACTION_DESIGN_01;TASK_TRAVEL_GIFT_DESIGN_01,projects/TRAVEL_GUIDE/private/SCHEME_A_FULL_GUIDE.pdf.enc
TASK_TRAVEL_SCHEME_B_01,TRAVEL_GUIDE,5,WRITER,Produce encrypted full guide PDF Scheme B,BLOCKED,TASK_TRAVEL_FIVE_SCHEMES_01;TASK_TRAVEL_MAPS_01;TASK_TRAVEL_INTERACTION_DESIGN_01;TASK_TRAVEL_GIFT_DESIGN_01,projects/TRAVEL_GUIDE/private/SCHEME_B_FULL_GUIDE.pdf.enc
TASK_TRAVEL_SCHEME_C_01,TRAVEL_GUIDE,5,WRITER,Produce encrypted full guide PDF Scheme C,BLOCKED,TASK_TRAVEL_FIVE_SCHEMES_01;TASK_TRAVEL_MAPS_01;TASK_TRAVEL_INTERACTION_DESIGN_01;TASK_TRAVEL_GIFT_DESIGN_01,projects/TRAVEL_GUIDE/private/SCHEME_C_FULL_GUIDE.pdf.enc
TASK_TRAVEL_SCHEME_D_01,TRAVEL_GUIDE,5,WRITER,Produce encrypted full guide PDF Scheme D,BLOCKED,TASK_TRAVEL_FIVE_SCHEMES_01;TASK_TRAVEL_MAPS_01;TASK_TRAVEL_INTERACTION_DESIGN_01;TASK_TRAVEL_GIFT_DESIGN_01,projects/TRAVEL_GUIDE/private/SCHEME_D_FULL_GUIDE.pdf.enc
TASK_TRAVEL_SCHEME_E_01,TRAVEL_GUIDE,5,WRITER,Produce encrypted full guide PDF Scheme E,BLOCKED,TASK_TRAVEL_FIVE_SCHEMES_01;TASK_TRAVEL_MAPS_01;TASK_TRAVEL_INTERACTION_DESIGN_01;TASK_TRAVEL_GIFT_DESIGN_01,projects/TRAVEL_GUIDE/private/SCHEME_E_FULL_GUIDE.pdf.enc
TASK_TRAVEL_T_MINUS_1_CHECK_01,TRAVEL_GUIDE,6,RESEARCHER,Refresh last-minute transport weather opening and crowd risks,BLOCKED,TASK_TRAVEL_FIVE_SCHEMES_01,projects/TRAVEL_GUIDE/private/LAST_MINUTE_CHECK.md.enc
TASK_TRAVEL_FINAL_AUDIT_01,TRAVEL_GUIDE,7,REVIEWER,Final factual budget privacy and usability audit,BLOCKED,TASK_TRAVEL_SCHEME_A_01;TASK_TRAVEL_SCHEME_B_01;TASK_TRAVEL_SCHEME_C_01;TASK_TRAVEL_SCHEME_D_01;TASK_TRAVEL_SCHEME_E_01;TASK_TRAVEL_RESEARCH_DIGEST_01;TASK_TRAVEL_PRETRIP_CHAT_01;TASK_TRAVEL_T_MINUS_1_CHECK_01,projects/TRAVEL_GUIDE/FINAL_REVIEW.md
TASK_TRAVEL_FIELD_AMAP_MATRIX_01,TRAVEL_GUIDE_DEPTH,2,ANALYST,Build AMap travel-time decision matrix,DONE,,projects/TRAVEL_GUIDE/research/book/field/AMAP_TIME_MATRIX.md
TASK_TRAVEL_FIELD_FACILITIES_01,TRAVEL_GUIDE_DEPTH,2,RESEARCHER,Audit field facilities and rest services,DONE,,projects/TRAVEL_GUIDE/research/book/field/FACILITIES.md
TASK_TRAVEL_FIELD_RAIN_CROWD_01,TRAVEL_GUIDE_DEPTH,2,PLANNER,Build rain and crowd fallback decision tree,DONE,,projects/TRAVEL_GUIDE/research/book/field/RAIN_CROWD_DECISION_TREE.md
TASK_TRAVEL_FIELD_RETURN_RAIL_01,TRAVEL_GUIDE_DEPTH,2,RESEARCHER,Build return rail candidate matrix,DONE,,projects/TRAVEL_GUIDE/research/book/field/RETURN_RAIL_MATRIX.md
TASK_TRAVEL_FOOD_XIAOZHUO_01,TRAVEL_GUIDE_DEPTH,2,RESEARCHER,Deep meal dossier for Courtyard Xiaozhuo,DONE,,projects/TRAVEL_GUIDE/research/book/food/COURTYARD_MEAL.md
TASK_TRAVEL_FOOD_XIJIE_01,TRAVEL_GUIDE_DEPTH,2,RESEARCHER,Deep meal dossier for quiet old-city option,DONE,,projects/TRAVEL_GUIDE/research/book/food/QUIET_OLD_CITY_MEAL.md
TASK_TRAVEL_FOOD_ZHAOMAI_01,TRAVEL_GUIDE_DEPTH,2,RESEARCHER,Deep snack dossier for Zhao Maimian,DONE,,projects/TRAVEL_GUIDE/research/book/food/REPRESENTATIVE_SNACK.md
TASK_TRAVEL_POI_SOURCE_AUDIT_01,TRAVEL_GUIDE_DEPTH,2,REVIEWER,Audit POI names access and map sources,DONE,,projects/TRAVEL_GUIDE/research/book/evidence/POI_SOURCE_AUDIT.md
TASK_TRAVEL_PROFILE_EVIDENCE_AUDIT_01,TRAVEL_GUIDE_DEPTH,2,REVIEWER,Audit visitor profile evidence,DONE,,projects/TRAVEL_GUIDE/research/book/evidence/VISITOR_PROFILE_AUDIT.md
TASK_TRAVEL_REVIEWS_2026_DEEP_01,TRAVEL_GUIDE_DEPTH,2,RESEARCHER,Deep audit of 2024-2026 visitor reviews,DONE,,projects/TRAVEL_GUIDE/research/book/evidence/REVIEWS_2026.md
TASK_TRAVEL_SEASON_EVIDENCE_AUDIT_01,TRAVEL_GUIDE_DEPTH,2,REVIEWER,Audit seasonality and visitor-flow evidence,DONE,,projects/TRAVEL_GUIDE/research/book/evidence/SEASONALITY_AUDIT.md
TASK_TRAVEL_SPOT_ANLAN_01,TRAVEL_GUIDE_DEPTH,2,RESEARCHER,Deep dossier for Anlan Bridge,DONE,,projects/TRAVEL_GUIDE/research/book/spots/ANLAN.md
TASK_TRAVEL_SPOT_BAOPINGKOU_01,TRAVEL_GUIDE_DEPTH,2,RESEARCHER,Deep dossier for Baopingkou,DONE,,projects/TRAVEL_GUIDE/research/book/spots/BAOPINGKOU.md
TASK_TRAVEL_SPOT_DUJIANGYAN_STATION_01,TRAVEL_GUIDE_DEPTH,2,RESEARCHER,Deep dossier for Dujiangyan Station,DONE,,projects/TRAVEL_GUIDE/research/book/spots/DUJIANGYAN_STATION.md
TASK_TRAVEL_SPOT_ERWANG_01,TRAVEL_GUIDE_DEPTH,2,RESEARCHER,Deep dossier for Erwang Temple,DONE,,projects/TRAVEL_GUIDE/research/book/spots/ERWANG.md
TASK_TRAVEL_SPOT_FEISHAYAN_01,TRAVEL_GUIDE_DEPTH,2,RESEARCHER,Deep dossier for Feishayan,DONE,,projects/TRAVEL_GUIDE/research/book/spots/FEISHAYAN.md
TASK_TRAVEL_SPOT_FULONG_01,TRAVEL_GUIDE_DEPTH,2,RESEARCHER,Deep dossier for Fulong Temple,DONE,,projects/TRAVEL_GUIDE/research/book/spots/FULONG.md
TASK_TRAVEL_SPOT_GATE1_01,TRAVEL_GUIDE_DEPTH,2,RESEARCHER,Deep dossier for Scenic Area Gate 1,DONE,,projects/TRAVEL_GUIDE/research/book/spots/GATE1.md
TASK_TRAVEL_SPOT_LIDUI_STATION_01,TRAVEL_GUIDE_DEPTH,2,RESEARCHER,Deep dossier for Lidui Park Station,DONE,,projects/TRAVEL_GUIDE/research/book/spots/LIDUI_PARK_STATION.md
TASK_TRAVEL_SPOT_NANQIAO_01,TRAVEL_GUIDE_DEPTH,2,RESEARCHER,Deep dossier for Nanqiao,DONE,,projects/TRAVEL_GUIDE/research/book/spots/NANQIAO.md
TASK_TRAVEL_SPOT_OLDCITY_01,TRAVEL_GUIDE_DEPTH,2,RESEARCHER,Deep dossier for Guanxian Old City,DONE,,projects/TRAVEL_GUIDE/research/book/spots/GUANXIAN_OLD_CITY.md
TASK_TRAVEL_SPOT_QINYAN_01,TRAVEL_GUIDE_DEPTH,2,RESEARCHER,Deep dossier for Qinyan Tower and Gate 6,DONE,,projects/TRAVEL_GUIDE/research/book/spots/QINYAN.md
TASK_TRAVEL_SPOT_YUZUI_01,TRAVEL_GUIDE_DEPTH,2,RESEARCHER,Deep dossier for Yuzui,DONE,,projects/TRAVEL_GUIDE/research/book/spots/YUZUI.md
TASK_TRAVEL_BOOK_SEARCH_INDEX_01,TRAVEL_GUIDE_DEPTH,5,ANALYST,Build searchable book index,CLAIMED,TASK_TRAVEL_SPOT_DUJIANGYAN_STATION_01;TASK_TRAVEL_SPOT_GATE1_01;TASK_TRAVEL_SPOT_FULONG_01;TASK_TRAVEL_SPOT_BAOPINGKOU_01;TASK_TRAVEL_SPOT_FEISHAYAN_01;TASK_TRAVEL_SPOT_YUZUI_01;TASK_TRAVEL_SPOT_ANLAN_01;TASK_TRAVEL_SPOT_ERWANG_01;TASK_TRAVEL_SPOT_QINYAN_01;TASK_TRAVEL_SPOT_OLDCITY_01;TASK_TRAVEL_SPOT_NANQIAO_01;TASK_TRAVEL_SPOT_LIDUI_STATION_01;TASK_TRAVEL_FOOD_XIAOZHUO_01;TASK_TRAVEL_FOOD_XIJIE_01;TASK_TRAVEL_FOOD_ZHAOMAI_01;TASK_TRAVEL_FIELD_FACILITIES_01;TASK_TRAVEL_FIELD_AMAP_MATRIX_01;TASK_TRAVEL_FIELD_RETURN_RAIL_01;TASK_TRAVEL_FIELD_RAIN_CROWD_01;TASK_TRAVEL_REVIEWS_2026_DEEP_01;TASK_TRAVEL_PROFILE_EVIDENCE_AUDIT_01;TASK_TRAVEL_SEASON_EVIDENCE_AUDIT_01;TASK_TRAVEL_POI_SOURCE_AUDIT_01,projects/TRAVEL_GUIDE/web/BOOK_SEARCH_INDEX.json
TASK_TRAVEL_BOOK_EDITOR_V6_01,TRAVEL_GUIDE_DEPTH,6,WRITER,Integrate book-depth research into V6,BLOCKED,TASK_TRAVEL_BOOK_SEARCH_INDEX_01,projects/TRAVEL_GUIDE/book/BOOK_V6_MASTER.md;projects/TRAVEL_GUIDE/web/BOOK_V6_DATA.json
TASK_TRAVEL_BOOK_FINAL_SOURCE_QA_01,TRAVEL_GUIDE_DEPTH,7,REVIEWER,Final source and mobile-content QA,BLOCKED,TASK_TRAVEL_BOOK_EDITOR_V6_01;TASK_TRAVEL_BOOK_SEARCH_INDEX_01,projects/TRAVEL_GUIDE/book/BOOK_V6_SOURCE_QA.md
TASK_UOS_STANDALONE_KERNEL_EXPORT_01,UOS_CORE,1,KERNEL_MAINTAINER,Extract generic UOS kernel from AI_book into standalone UOS,READY,,projects/UOS_CORE/output/TASK_UOS_STANDALONE_KERNEL_EXPORT_01.md
TASK_UOS_PROJECT_TASK_PUBLISH_01,UOS_CORE,2,KERNEL_MAINTAINER,Add standalone project init and task publish flow,BLOCKED,TASK_UOS_STANDALONE_KERNEL_EXPORT_01,projects/UOS_CORE/output/TASK_UOS_PROJECT_TASK_PUBLISH_01.md
TASK_UOS_SINGLE_REPO_PILOT_ACCEPTANCE_01,UOS_CORE,3,REVIEWER,Prove UOS can complete an ordinary same-repository project,BLOCKED,TASK_UOS_PROJECT_TASK_PUBLISH_01,projects/UOS_CORE/output/TASK_UOS_SINGLE_REPO_PILOT_ACCEPTANCE_01.md
TASK_UOS_UPSTREAM_SYNC_01,UOS_CORE,50,KERNEL_MAINTAINER,Future: create versioned UOS to consumer sync and pin mechanism,BLOCKED,TASK_UOS_SINGLE_REPO_PILOT_ACCEPTANCE_01,projects/UOS_CORE/output/TASK_UOS_UPSTREAM_SYNC_01.md
TASK_UOS_MULTI_REPO_ORCHESTRATION_01,UOS_CORE,60,ARCHITECT,Future: design one UOS control plane for multiple project repositories,BLOCKED,TASK_UOS_UPSTREAM_SYNC_01,projects/UOS_CORE/output/TASK_UOS_MULTI_REPO_ORCHESTRATION_01.md
